captcha_id,variant,expected,raw_text,normalized_text,exact_match,edit_distance,char_accuracy,image_paths,model,detail
004,original,4pb4k,4p9ca,4p9ca,false,3,0.400000,C:\xxx\captcha\captcha_pairs_60\captcha_004_original.jpg,gpt-5.2,high
004,box_k4,4pb4k,z9f4k,z9f4k,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_004_box_k4.png,gpt-5.2,high
004,box_k5,4pb4k,4b6ik,4b6ik,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_004_box_k5.png,gpt-5.2,high
004,box_k5_soft_contrast,4pb4k,2b6tk,2b6tk,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_004_box_k5_soft_contrast.png,gpt-5.2,high
005,original,2d3kx,2t5ry,2t5ry,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_005_original.jpg,gpt-5.2,high
005,box_k4,2d3kx,2d4or,2d4or,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_005_box_k4.png,gpt-5.2,high
005,box_k5,2d3kx,2d3cx,2d3cx,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_005_box_k5.png,gpt-5.2,high
005,box_k5_soft_contrast,2d3kx,zd3xc,zd3xc,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_005_box_k5_soft_contrast.png,gpt-5.2,high
006,original,mk8k6,mfeas,mfeas,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_006_original.jpg,gpt-5.2,high
006,box_k4,mk8k6,mkgk0,mkgk0,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_006_box_k4.png,gpt-5.2,high
006,box_k5,mk8k6,nk6wq,nk6wq,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_006_box_k5.png,gpt-5.2,high
006,box_k5_soft_contrast,mk8k6,nk6ng,nk6ng,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_006_box_k5_soft_contrast.png,gpt-5.2,high
007,original,ya8r8,j7a8s,j7a8s,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_007_original.jpg,gpt-5.2,high
007,box_k4,ya8r8,yadf8,yadf8,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_007_box_k4.png,gpt-5.2,high
007,box_k5,ya8r8,yad78,yad78,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_007_box_k5.png,gpt-5.2,high
007,box_k5_soft_contrast,ya8r8,ya8r8,ya8r8,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_007_box_k5_soft_contrast.png,gpt-5.2,high
008,original,bpaye,4t7y7,4t7y7,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_008_original.jpg,gpt-5.2,high
008,box_k4,bpaye,lqnay,lqnay,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_008_box_k4.png,gpt-5.2,high
008,box_k5,bpaye,bmayc,bmayc,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_008_box_k5.png,gpt-5.2,high
008,box_k5_soft_contrast,bpaye,1mayc,1mayc,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_008_box_k5_soft_contrast.png,gpt-5.2,high
009,original,bh62r,bfg2l,bfg2l,false,3,0.400000,C:\xxx\captcha\captcha_pairs_60\captcha_009_original.jpg,gpt-5.2,high
009,box_k4,bh62r,bi62r,bi62r,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_009_box_k4.png,gpt-5.2,high
009,box_k5,bh62r,bt6zr,bt6zr,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_009_box_k5.png,gpt-5.2,high
009,box_k5_soft_contrast,bh62r,bh62r,bh62r,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_009_box_k5_soft_contrast.png,gpt-5.2,high
010,original,b3xcc,tsx8c,tsx8c,false,3,0.400000,C:\xxx\captcha\captcha_pairs_60\captcha_010_original.jpg,gpt-5.2,high
010,box_k4,b3xcc,b5xce,b5xce,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_010_box_k4.png,gpt-5.2,high
010,box_k5,b3xcc,b3xcc,b3xcc,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_010_box_k5.png,gpt-5.2,high
010,box_k5_soft_contrast,b3xcc,b3xcc,b3xcc,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_010_box_k5_soft_contrast.png,gpt-5.2,high
011,original,kgn6p,y2n4m,y2n4m,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_011_original.jpg,gpt-5.2,high
011,box_k4,kgn6p,ksn6a,ksn6a,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_011_box_k4.png,gpt-5.2,high
011,box_k5,kgn6p,ksn4n,ksn4n,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_011_box_k5.png,gpt-5.2,high
011,box_k5_soft_contrast,kgn6p,k9n4p,k9n4p,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_011_box_k5_soft_contrast.png,gpt-5.2,high
012,original,y3d84,yc484,yc484,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_012_original.jpg,gpt-5.2,high
012,box_k4,y3d84,y3d84,y3d84,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_012_box_k4.png,gpt-5.2,high
012,box_k5,y3d84,y3d84,y3d84,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_012_box_k5.png,gpt-5.2,high
012,box_k5_soft_contrast,y3d84,y3d84,y3d84,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_012_box_k5_soft_contrast.png,gpt-5.2,high
013,original,dhb44,ch9m4,ch9m4,false,3,0.400000,C:\xxx\captcha\captcha_pairs_60\captcha_013_original.jpg,gpt-5.2,high
013,box_k4,dhb44,drba4,drba4,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_013_box_k4.png,gpt-5.2,high
013,box_k5,dhb44,dhb14,dhb14,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_013_box_k5.png,gpt-5.2,high
013,box_k5_soft_contrast,dhb44,dtbj4,dtbj4,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_013_box_k5_soft_contrast.png,gpt-5.2,high
014,original,gacyp,gaeyp,gaeyp,false,1,0.800000,C:\xxx\captcha\captcha_pairs_60\captcha_014_original.jpg,gpt-5.2,high
014,box_k4,gacyp,gacyp,gacyp,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_014_box_k4.png,gpt-5.2,high
014,box_k5,gacyp,gacyp,gacyp,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_014_box_k5.png,gpt-5.2,high
014,box_k5_soft_contrast,gacyp,gacyp,gacyp,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_014_box_k5_soft_contrast.png,gpt-5.2,high
015,original,46f75,4687y,4687y,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_015_original.jpg,gpt-5.2,high
015,box_k4,46f75,46f73,46f73,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_015_box_k4.png,gpt-5.2,high
015,box_k5,46f75,46775,46775,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_015_box_k5.png,gpt-5.2,high
015,box_k5_soft_contrast,46f75,46f75,46f75,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_015_box_k5_soft_contrast.png,gpt-5.2,high
016,original,88e5y,oe3y7,oe3y7,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_016_original.jpg,gpt-5.2,high
016,box_k4,88e5y,8ou3y,8ou3y,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_016_box_k4.png,gpt-5.2,high
016,box_k5,88e5y,8oe5y,8oe5y,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_016_box_k5.png,gpt-5.2,high
016,box_k5_soft_contrast,88e5y,8oe5y,8oe5y,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_016_box_k5_soft_contrast.png,gpt-5.2,high
017,original,p24gy,p2dgy,p2dgy,false,1,0.800000,C:\xxx\captcha\captcha_pairs_60\captcha_017_original.jpg,gpt-5.2,high
017,box_k4,p24gy,p24gy,p24gy,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_017_box_k4.png,gpt-5.2,high
017,box_k5,p24gy,p24gy,p24gy,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_017_box_k5.png,gpt-5.2,high
017,box_k5_soft_contrast,p24gy,p24gy,p24gy,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_017_box_k5_soft_contrast.png,gpt-5.2,high
018,original,n85gw,m3g3r,m3g3r,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_018_original.jpg,gpt-5.2,high
018,box_k4,n85gw,n8e91,n8e91,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_018_box_k4.png,gpt-5.2,high
018,box_k5,n85gw,n8c5m,n8c5m,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_018_box_k5.png,gpt-5.2,high
018,box_k5_soft_contrast,n85gw,n8c3u,n8c3u,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_018_box_k5_soft_contrast.png,gpt-5.2,high
019,original,d6y2a,c6yza,c6yza,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_019_original.jpg,gpt-5.2,high
019,box_k4,d6y2a,d6y2a,d6y2a,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_019_box_k4.png,gpt-5.2,high
019,box_k5,d6y2a,d6y2a,d6y2a,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_019_box_k5.png,gpt-5.2,high
019,box_k5_soft_contrast,d6y2a,d6y2a,d6y2a,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_019_box_k5_soft_contrast.png,gpt-5.2,high
020,original,d7b2f,n97tm,n97tm,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_020_original.jpg,gpt-5.2,high
020,box_k4,d7b2f,u7u2f,u7u2f,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_020_box_k4.png,gpt-5.2,high
020,box_k5,d7b2f,uni2f,uni2f,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_020_box_k5.png,gpt-5.2,high
020,box_k5_soft_contrast,d7b2f,u4b2f,u4b2f,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_020_box_k5_soft_contrast.png,gpt-5.2,high
021,original,27ber,2h8ep,2h8ep,false,3,0.400000,C:\xxx\captcha\captcha_pairs_60\captcha_021_original.jpg,gpt-5.2,high
021,box_k4,27ber,27bef,27bef,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_021_box_k4.png,gpt-5.2,high
021,box_k5,27ber,27ber,27ber,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_021_box_k5.png,gpt-5.2,high
021,box_k5_soft_contrast,27ber,27ber,27ber,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_021_box_k5_soft_contrast.png,gpt-5.2,high
022,original,537nd,qvn1d,qvn1d,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_022_original.jpg,gpt-5.2,high
022,box_k4,537nd,s87rd,s87rd,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_022_box_k4.png,gpt-5.2,high
022,box_k5,537nd,s37nd,s37nd,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_022_box_k5.png,gpt-5.2,high
022,box_k5_soft_contrast,537nd,s37nd,s37nd,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_022_box_k5_soft_contrast.png,gpt-5.2,high
023,original,6cwmf,6cwnf,6cwnf,false,1,0.800000,C:\xxx\captcha\captcha_pairs_60\captcha_023_original.jpg,gpt-5.2,high
023,box_k4,6cwmf,6cwnf,6cwnf,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_023_box_k4.png,gpt-5.2,high
023,box_k5,6cwmf,6cwmf,6cwmf,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_023_box_k5.png,gpt-5.2,high
023,box_k5_soft_contrast,6cwmf,6cwmf,6cwmf,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_023_box_k5_soft_contrast.png,gpt-5.2,high
024,original,32exc,s0ugm,s0ugm,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_024_original.jpg,gpt-5.2,high
024,box_k4,32exc,32exr,32exr,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_024_box_k4.png,gpt-5.2,high
024,box_k5,32exc,32exr,32exr,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_024_box_k5.png,gpt-5.2,high
024,box_k5_soft_contrast,32exc,32cxr,32cxr,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_024_box_k5_soft_contrast.png,gpt-5.2,high
025,original,xmkmr,xihom,xihom,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_025_original.jpg,gpt-5.2,high
025,box_k4,xmkmr,xhkrr,xhkrr,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_025_box_k4.png,gpt-5.2,high
025,box_k5,xmkmr,xnkrr,xnkrr,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_025_box_k5.png,gpt-5.2,high
025,box_k5_soft_contrast,xmkmr,xn0rr,xn0rr,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_025_box_k5_soft_contrast.png,gpt-5.2,high
026,original,ygpp6,ygpp6,ygpp6,true,0,1.000000,C:\xxx\captcha\captcha_pairs_60\captcha_026_original.jpg,gpt-5.2,high
026,box_k4,ygpp6,ygpp6,ygpp6,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_026_box_k4.png,gpt-5.2,high
026,box_k5,ygpp6,ygpp6,ygpp6,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_026_box_k5.png,gpt-5.2,high
026,box_k5_soft_contrast,ygpp6,ygpp6,ygpp6,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_026_box_k5_soft_contrast.png,gpt-5.2,high
027,original,7kcwa,bdkvd,bdkvd,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_027_original.jpg,gpt-5.2,high
027,box_k4,7kcwa,7kcmn,7kcmn,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_027_box_k4.png,gpt-5.2,high
027,box_k5,7kcwa,7k6u1,7k6u1,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_027_box_k5.png,gpt-5.2,high
027,box_k5_soft_contrast,7kcwa,7kewi,7kewi,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_027_box_k5_soft_contrast.png,gpt-5.2,high
028,original,4xhdk,s4d9q,s4d9q,false,5,0.000000,C:\xxx\captcha\captcha_pairs_60\captcha_028_original.jpg,gpt-5.2,high
028,box_k4,4xhdk,4x3tt,4x3tt,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_028_box_k4.png,gpt-5.2,high
028,box_k5,4xhdk,4xiwk,4xiwk,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_028_box_k5.png,gpt-5.2,high
028,box_k5_soft_contrast,4xhdk,4x1ak,4x1ak,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_028_box_k5_soft_contrast.png,gpt-5.2,high
029,original,7bb48,7b8k8,7b8k8,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_029_original.jpg,gpt-5.2,high
029,box_k4,7bb48,7aj48,7aj48,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_029_box_k4.png,gpt-5.2,high
029,box_k5,7bb48,7db48,7db48,false,1,0.800000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_029_box_k5.png,gpt-5.2,high
029,box_k5_soft_contrast,7bb48,7bb48,7bb48,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_029_box_k5_soft_contrast.png,gpt-5.2,high
030,original,6nyhr,6m1ex,6m1ex,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_030_original.jpg,gpt-5.2,high
030,box_k4,6nyhr,6mjk4,6mjk4,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_030_box_k4.png,gpt-5.2,high
030,box_k5,6nyhr,6m4da,6m4da,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_030_box_k5.png,gpt-5.2,high
030,box_k5_soft_contrast,6nyhr,6m1ka,6m1ka,false,4,0.200000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_030_box_k5_soft_contrast.png,gpt-5.2,high
031,original,b45hf,4srh7,4srh7,false,4,0.200000,C:\xxx\captcha\captcha_pairs_60\captcha_031_original.jpg,gpt-5.2,high
031,box_k4,b45hf,h4g3f,h4g3f,false,3,0.400000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_031_box_k4.png,gpt-5.2,high
031,box_k5,b45hf,h45af,h45af,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_031_box_k5.png,gpt-5.2,high
031,box_k5_soft_contrast,b45hf,h45cf,h45cf,false,2,0.600000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_031_box_k5_soft_contrast.png,gpt-5.2,high
032,original,824f7,g24i7,g24i7,false,2,0.600000,C:\xxx\captcha\captcha_pairs_60\captcha_032_original.jpg,gpt-5.2,high
032,box_k4,824f7,824f7,824f7,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k4\captcha_032_box_k4.png,gpt-5.2,high
032,box_k5,824f7,824f7,824f7,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5\captcha_032_box_k5.png,gpt-5.2,high
032,box_k5_soft_contrast,824f7,824f7,824f7,true,0,1.000000,C:\xxx\captcha\light_blur_easyocr_pairs60\box_k5_soft_contrast\captcha_032_box_k5_soft_contrast.png,gpt-5.2,high
